station_id,station_name,station_lat,station_lon,start_year,end_year,,,,,,,,,,,,,,,,,,,,
80211,Apalachicola AP,29.43,85.1,1931,2022,,,,,,,,,,,,,,,,,,,,
80228,Arcadia,27.13,81.52,1899,2021,,,,,,,,,,,,,,,,,,,,
80236,Archbold Bio Stn,27.1,81.21,1969,2022,,,,,,,,,,,,,,,,,,,,
80369,Avon Park 2 W,27.35,81.31,1892,2022,,,,,,,,,,,,,,,,,,,,
80478,Bartow,27.53,81.5,1892,2022,,,,,,,,,,,,,,,,,,,,
80611,Belle Glade,26.41,80.4,1924,2005,,,,,,,,,,,,,,,,,,,,
80945,Bradenton 5 ESE,27.26,82.3,1965,2022,,,,,,,,,,,,,,,,,,,,
81046,Brooksville Chin Hill,28.36,82.21,1892,2012,,,,,,,,,,,,,,,,,,,,
81163,Bushnell 1 E,28.39,82.4,1918,2020,,,,,,,,,,,,,,,,,,,,
81276,Canal Point USDA,26.51,80.37,1941,2022,,,,,,,,,,,,,,,,,,,,
81544,Chipley,30.47,85.29,1939,2022,,,,,,,,,,,,,,,,,,,,
81641,Clermont 9 S,28.27,81.43,1948,2022,,,,,,,,,,,,,,,,,,,,
81978,Crescent City,29.25,81.31,1912,2020,,,,,,,,,,,,,,,,,,,,
81986,Crestview Bob Sikes Airport,30.78,86.52,1948,2022,,,,,,,,,,,,,,,,,,,,
82008,Cross City 1 E,29.38,83.9,1948,2022,,,,,,,,,,,,,,,,,,,,
82150,Daytona Beach,29.11,81.04,1923,2022,,,,,,,,,,,,,,,,,,,,
82158,Daytona Beach Intl Airport,29.1,81.2,1948,2022,,,,,,,,,,,,,,,,,,,,
82220,De Funiak Springs 1 E,30.43,86.5,1896,2010,,,,,,,,,,,,,,,,,,,,
82229,Deland 1 SSE,29.1,81.81,1892,2022,,,,,,,,,,,,,,,,,,,,
82288,Desoto City 8 SW,27.44,81.4,1925,2022,,,,,,,,,,,,,,,,,,,,
82298,Devils Garden,26.44,81.02,1956,2022,,,,,,,,,,,,,,,,,,,,
82850,Everglades,25.5,81.23,1924,2017,,,,,,,,,,,,,,,,,,,,
82915,Federal Point,29.45,81.32,1892,2020,,,,,,,,,,,,,,,,,,,,
82944,Fernandina Beach,30.39,81.27,1892,2020,,,,,,,,,,,,,,,,,,,,
83020,Flamingo Ranger Station,25.8,80.54,1962,2021,,,,,,,,,,,,,,,,,,,,
83137,Fort Drum,27.31,80.49,1948,2011,,,,,,,,,,,,,,,,,,,,
83153,Ft Green 12 WSW,27.61,81.94,1948,2022,,,,,,,,,,,,,,,,,,,,
83163,Ft Lauderdale,26.6,80.12,1912,2022,,,,,,,,,,,,,,,,,,,,
83168,Ft Lauderdale Beach,26.07,80.15,1952,2022,,,,,,,,,,,,,,,,,,,,
83186,Ft Myers Page FLD AP,26.35,81.51,1892,2022,,,,,,,,,,,,,,,,,,,,
83207,Ft Pierce,27.27,80.21,1901,2022,,,,,,,,,,,,,,,,,,,,
83326,Gainesville Regional AP,29.41,82.16,1960,2022,,,,,,,,,,,,,,,,,,,,
83470,Glen St Mary 1 W,30.16,82.11,1919,2022,,,,,,,,,,,,,,,,,,,,
83874,Hastings 4 NE,29.45,81.28,1978,2022,,,,,,,,,,,,,,,,,,,,
83909,Hialeah,25.49,80.17,1940,2022,,,,,,,,,,,,,,,,,,,,
83956,High Springs,29.49,82.35,1944,2017,,,,,,,,,,,,,,,,,,,,
83986,Hillsborough River SP,28.14,82.23,1943,2022,,,,,,,,,,,,,,,,,,,,
84210,Immokalee,26.25,81.24,1970,2017,,,,,,,,,,,,,,,,,,,,
84289,Iverness 3 SE,28.48,82.18,1899,2022,,,,,,,,,,,,,,,,,,,,
84358,Jacksonville Int AP,30.29,81.41,1948,2022,,,,,,,,,,,,,,,,,,,,
84366,Jacksonville Beach,30.17,81.23,1944,2022,,,,,,,,,,,,,,,,,,,,
84394,Jasper,30.4,83.01,1950,2022,,,,,,,,,,,,,,,,,,,,
84570,Key West Int AP,24.33,81.45,1948,2022,,,,,,,,,,,,,,,,,,,,
84625,Kissimmee 2,28.16,81.25,1940,2022,,,,,,,,,,,,,,,,,,,,
84662,La Belle,26.44,81.25,1929,2019,,,,,,,,,,,,,,,,,,,,
84731,Lake City 2 E,30.11,82.35,1892,2022,,,,,,,,,,,,,,,,,,,,
85076,Lisbon,28.52,81.47,1958,2022,,,,,,,,,,,,,,,,,,,,
85099,Live Oak,30.17,82.57,1898,2022,,,,,,,,,,,,,,,,,,,,
85275,Madison,30.27,83.24,1892,2017,,,,,,,,,,,,,,,,,,,,
85539,Mayo,30.3,83.1,1949,2022,,,,,,,,,,,,,,,,,,,,
85612,Melbourne WFO,28.5,80.37,2010,2022,,,,,,,,,,,,,,,,,,,,
85658,Miami Beach,25.46,80.7,1927,2022,,,,,,,,,,,,,,,,,,,,
85663,Miami Int AP,25.47,80.18,1948,2022,,,,,,,,,,,,,,,,,,,,
85879,Monticello 5 SE,30.29,83.46,1904,2016,,,,,,,,,,,,,,,,,,,,
85880,Monticello 10 SW,30.55,83.87,2007,2022,,,,,,,,,,,,,,,,,,,,
85895,Moore Haven Lock 1,26.84,81.09,1918,2022,,,,,,,,,,,,,,,,,,,,
85973,Mountain Lake,27.56,81.35,1935,2022,,,,,,,,,,,,,,,,,,,,
86065,Myakka River State Park,27.14,82.18,1943,2022,,,,,,,,,,,,,,,,,,,,
86078,Naples,26.1,81.42,1942,2022,,,,,,,,,,,,,,,,,,,,
86240,Niceville,30.31,86.29,1927,2022,,,,,,,,,,,,,,,,,,,,
86406,Oasis RS,25.51,81.1,1978,2017,,,,,,,,,,,,,,,,,,,,
86414,Ocala,29.4,82.4,1892,2022,,,,,,,,,,,,,,,,,,,,
86485,Okeechobee,27.9,80.51,1940,2010,,,,,,,,,,,,,,,,,,,,
86628,Orlando Int AP,28.26,81.19,1954,2022,,,,,,,,,,,,,,,,,,,,
86842,Panama City 5N,30.14,85.39,1972,2022,,,,,,,,,,,,,,,,,,,,
86880,Parrish,27.36,82.2,1948,2017,,,,,,,,,,,,,,,,,,,,
86997,Pensacola Regional AP,30.28,87.11,1948,2022,,,,,,,,,,,,,,,,,,,,
87020,Perrine 4W,25.35,80.26,1958,2022,,,,,,,,,,,,,,,,,,,,
87025,Perry,30.5,83.34,1897,2022,,,,,,,,,,,,,,,,,,,,
87205,Plant City,28.1,82.8,1892,2022,,,,,,,,,,,,,,,,,,,,
87397,Punta Gorda 4 ESE,26.54,81.59,1965,2021,,,,,,,,,,,,,,,,,,,,
87429,Quincy 3 SSW,30.36,84.33,1968,2022,,,,,,,,,,,,,,,,,,,,
87760,Royal Palm RS,25.23,80.35,1949,2022,,,,,,,,,,,,,,,,,,,,
87826,St. Augustine LH,29.53,81.17,1973,2017,,,,,,,,,,,,,,,,,,,,
87851,Sain Leo,28.2,82.15,1895,2022,,,,,,,,,,,,,,,,,,,,
87886,St. Petersburg AP,27.45,82.37,1892,2020,,,,,,,,,,,,,,,,,,,,
87982,Sanford,28.48,81.16,1956,2022,,,,,,,,,,,,,,,,,,,,
88620,Stuart,27.12,80.9,1935,2022,,,,,,,,,,,,,,,,,,,,
88758,Tallahassee Regional AP,30.23,84.21,1948,2022,,,,,,,,,,,,,,,,,,,,
88788,Tampa Intl AP,27.57,82.32,1900,2022,,,,,,,,,,,,,,,,,,,,
88824,Tarpon Springs Sewage PL,28.9,82.45,1892,2022,,,,,,,,,,,,,,,,,,,,
88942,Titusville,28.37,80.48,1901,2022,,,,,,,,,,,,,,,,,,,,
89120,Usher Tower,29.24,82.49,1956,2022,,,,,,,,,,,,,,,,,,,,
89176,Venice,27.6,82.26,1927,2022,,,,,,,,,,,,,,,,,,,,
89214,Vero Beach Intl AP,27.39,80.14,1923,2022,,,,,,,,,,,,,,,,,,,,
89219,Vero Beach 4 SE,27.39,80.24,1965,2022,,,,,,,,,,,,,,,,,,,,
89401,Wauchula,27.32,81.47,1933,2022,,,,,,,,,,,,,,,,,,,,
89430,Weeki Wachee,28.31,82.34,1969,2017,,,,,,,,,,,,,,,,,,,,
89525,West Palm Beach Intl AP,26.41,80.5,1938,2022,,,,,,,,,,,,,,,,,,,,
89566,Wewahitchka,30.7,85.12,1901,2022,,,,,,,,,,,,,,,,,,,,

